# Map for SIMON32/64, rounds=10, blocks=8, with_rk
# Format: name output_index

# Ciphertext outputs
ct[0][0][0] output 0
ct[0][0][1] output 1
ct[0][0][2] output 2
ct[0][0][3] output 3
ct[0][0][4] output 4
ct[0][0][5] output 5
ct[0][0][6] output 6
ct[0][0][7] output 7
ct[0][0][8] output 8
ct[0][0][9] output 9
ct[0][0][10] output 10
ct[0][0][11] output 11
ct[0][0][12] output 12
ct[0][0][13] output 13
ct[0][0][14] output 14
ct[0][0][15] output 15
ct[0][1][0] output 16
ct[0][1][1] output 17
ct[0][1][2] output 18
ct[0][1][3] output 19
ct[0][1][4] output 20
ct[0][1][5] output 21
ct[0][1][6] output 22
ct[0][1][7] output 23
ct[0][1][8] output 24
ct[0][1][9] output 25
ct[0][1][10] output 26
ct[0][1][11] output 27
ct[0][1][12] output 28
ct[0][1][13] output 29
ct[0][1][14] output 30
ct[0][1][15] output 31
ct[1][0][0] output 32
ct[1][0][1] output 33
ct[1][0][2] output 34
ct[1][0][3] output 35
ct[1][0][4] output 36
ct[1][0][5] output 37
ct[1][0][6] output 38
ct[1][0][7] output 39
ct[1][0][8] output 40
ct[1][0][9] output 41
ct[1][0][10] output 42
ct[1][0][11] output 43
ct[1][0][12] output 44
ct[1][0][13] output 45
ct[1][0][14] output 46
ct[1][0][15] output 47
ct[1][1][0] output 48
ct[1][1][1] output 49
ct[1][1][2] output 50
ct[1][1][3] output 51
ct[1][1][4] output 52
ct[1][1][5] output 53
ct[1][1][6] output 54
ct[1][1][7] output 55
ct[1][1][8] output 56
ct[1][1][9] output 57
ct[1][1][10] output 58
ct[1][1][11] output 59
ct[1][1][12] output 60
ct[1][1][13] output 61
ct[1][1][14] output 62
ct[1][1][15] output 63
ct[2][0][0] output 64
ct[2][0][1] output 65
ct[2][0][2] output 66
ct[2][0][3] output 67
ct[2][0][4] output 68
ct[2][0][5] output 69
ct[2][0][6] output 70
ct[2][0][7] output 71
ct[2][0][8] output 72
ct[2][0][9] output 73
ct[2][0][10] output 74
ct[2][0][11] output 75
ct[2][0][12] output 76
ct[2][0][13] output 77
